gene,pvalues,padj
FRMD3,0.0322351882861187,1
GNB1L,0.0322351882861187,1
HAL,0.0322351882861187,1
JAK3,0.0322351882861187,1
MACC1,0.0322351882861187,1
PABPC1L,0.0322351882861187,1
PCSK4,0.0322351882861187,1
PLB1,0.0322351882861187,1
PODN,0.0322351882861187,1
SERPINE3,0.0322351882861187,1
TMCO3,0.0322351882861187,1
ZNF398,0.0322351882861187,1
ZNF791,0.0322351882861187,1
ATP1A2,0.0339727846729838,1
HBS1L,0.0345628065705658,1
PTGFRN,0.0345628065705658,1
ADCY5,0.0346035761623222,1
BMPR2,0.0352537047893074,1
SCN5A,0.0352537047893074,1
ZNF469,0.0352537047893074,1
CA6,0.0352777349666551,1
CALCR,0.0352777349666551,1
GANC,0.0352777349666551,1
IL17RD,0.0352777349666551,1
MMP3,0.0352777349666551,1
MX2,0.0352777349666551,1
P2RY10,0.0352777349666551,1
PCSK2,0.0352777349666551,1
ABCA13,0.0359148771211142,1
ARFGEF1,0.0360397086678295,1
DIP2C,0.0360397086678295,1
SETD1B,0.0375105860628915,1
MDN1,0.0377827105199944,1
COL15A1,0.0408108338079996,1
COL5A3,0.0408108338079996,1
EGFLAM,0.0408108338079996,1
EPHA6,0.0408108338079996,1
EPPK1,0.0408108338079996,1
JAKMIP2,0.0408108338079996,1
KCNH3,0.0408108338079996,1
MYH7B,0.0408108338079996,1
NLRP1,0.0408108338079996,1
PCF11,0.0408108338079996,1
ROCK1,0.0408108338079996,1
ST6GAL2,0.0408108338079996,1
URB1,0.0408108338079996,1
PCDH10,0.0408983116714602,1
KMT2C,0.042257757032683,1
BDKRB2,0.0438142469849819,1
C1orf87,0.0438142469849819,1
CA2,0.0438142469849819,1
CAPNS2,0.0438142469849819,1
CLYBL,0.0438142469849819,1
CPVL,0.0438142469849819,1
CREB3,0.0438142469849819,1
GLYAT,0.0438142469849819,1
GPC2,0.0438142469849819,1
GSTM5,0.0438142469849819,1
HARS,0.0438142469849819,1
RAB3IP,0.0438142469849819,1
ZC3H14,0.0438142469849819,1
FHOD3,0.0439249724212433,1
PTPRQ,0.0439249724212433,1
VPS13A,0.0439249724212433,1
ABCA3,0.0441119319508963,1
KDM2B,0.0441119319508963,1
PLEKHA6,0.0441119319508963,1
DPY19L2,0.0445139992313525,1
EFTUD2,0.0445139992313525,1
FNBP1,0.0445139992313525,1
KIF18A,0.0445139992313525,1
KRT73,0.0445139992313525,1
PRAMEF17,0.0445139992313525,1
TLE2,0.0445139992313525,1
ZNF525,0.0445139992313525,1
ALAS1,0.0446539194451745,1
ANGPTL7,0.0446539194451745,1
ANKRD40,0.0446539194451745,1
APOL5,0.0446539194451745,1
BHLHE22,0.0446539194451745,1
BTNL9,0.0446539194451745,1
BTRC,0.0446539194451745,1
CCDC96,0.0446539194451745,1
CMTR2,0.0446539194451745,1
CTSA,0.0446539194451745,1
DSN1,0.0446539194451745,1
EMILIN2,0.0446539194451745,1
GNL3L,0.0446539194451745,1
GPBP1L1,0.0446539194451745,1
GPR142,0.0446539194451745,1
GPR152,0.0446539194451745,1
GZMK,0.0446539194451745,1
HDAC11,0.0446539194451745,1
HPS4,0.0446539194451745,1
HPS6,0.0446539194451745,1
HS3ST3B1,0.0446539194451745,1
IRX3,0.0446539194451745,1
KDELR1,0.0446539194451745,1
KLC3,0.0446539194451745,1
LRRC74A,0.0446539194451745,1
METTL16,0.0446539194451745,1
MRPS9,0.0446539194451745,1
OR51A7,0.0446539194451745,1
OR51B4,0.0446539194451745,1
OTX2,0.0446539194451745,1
PDLIM7,0.0446539194451745,1
PHF13,0.0446539194451745,1
RARG,0.0446539194451745,1
SLC22A15,0.0446539194451745,1
SLC22A4,0.0446539194451745,1
SLC29A4,0.0446539194451745,1
SMAD1,0.0446539194451745,1
SMYD4,0.0446539194451745,1
SPRED1,0.0446539194451745,1
SYK,0.0446539194451745,1
SYT1,0.0446539194451745,1
TFE3,0.0446539194451745,1
THNSL1,0.0446539194451745,1
TMEM175,0.0446539194451745,1
TRIM17,0.0446539194451745,1
TRMT13,0.0446539194451745,1
TXNDC11,0.0446539194451745,1
VAC14,0.0446539194451745,1
VIL1,0.0446539194451745,1
WDR27,0.0446539194451745,1
WDR55,0.0446539194451745,1
WDR75,0.0446539194451745,1
ZBTB32,0.0446539194451745,1
ZNF330,0.0446539194451745,1
ZNF671,0.0446539194451745,1
ZNF711,0.0446539194451745,1
ABR,0.0470110559285964,1
AHCTF1,0.0470110559285964,1
ATP13A5,0.0470110559285964,1
CAND2,0.0470110559285964,1
DIS3L,0.0470110559285964,1
DZIP1L,0.0470110559285964,1
EPHA4,0.0470110559285964,1
FAM47A,0.0470110559285964,1
GPR149,0.0470110559285964,1
JARID2,0.0470110559285964,1
KIAA1671,0.0470110559285964,1
LRP5,0.0470110559285964,1
NR4A2,0.0470110559285964,1
SASH1,0.0470110559285964,1
DNAH6,0.0502954257063655,1
MEGF8,0.0502954257063655,1
SPEN,0.0502954257063655,1
DAAM2,0.0508252150769689,1
ALG13,0.0511843255760814,1
ANKRD27,0.0511843255760814,1
ATP6V1B1,0.0511843255760814,1
AXIN1,0.0511843255760814,1
BCR,0.0511843255760814,1
C9orf131,0.0511843255760814,1
CAMK2G,0.0511843255760814,1
CCDC171,0.0511843255760814,1
CCDC64,0.0511843255760814,1
DACH2,0.0511843255760814,1
DRC7,0.0511843255760814,1
EPN1,0.0511843255760814,1
FAM73A,0.0511843255760814,1
GABBR2,0.0511843255760814,1
GALNT14,0.0511843255760814,1
HNF1A,0.0511843255760814,1
IPO8,0.0511843255760814,1
ITGAE,0.0511843255760814,1
ITGB6,0.0511843255760814,1
KCTD8,0.0511843255760814,1
LNX1,0.0511843255760814,1
MATR3,0.0511843255760814,1
MYO1B,0.0511843255760814,1
NTNG1,0.0511843255760814,1
OR5R1,0.0511843255760814,1
RAPGEF1,0.0511843255760814,1
RBM26,0.0511843255760814,1
SAFB,0.0511843255760814,1
SARDH,0.0511843255760814,1
SEC61A1,0.0511843255760814,1
SEMA3E,0.0511843255760814,1
SPAG9,0.0511843255760814,1
SYMPK,0.0511843255760814,1
TGM6,0.0511843255760814,1
TYK2,0.0511843255760814,1
VWA5A,0.0511843255760814,1
EML6,0.0523885922982174,1
MYO10,0.0523885922982174,1
NINL,0.0523885922982174,1
SPTBN5,0.0523885922982174,1
ACE2,0.0528223498529882,1
ADSSL1,0.0528223498529882,1
AIFM3,0.0528223498529882,1
APMAP,0.0528223498529882,1
BLK,0.0528223498529882,1
C19orf44,0.0528223498529882,1
CACUL1,0.0528223498529882,1
CCDC79,0.0528223498529882,1
CFHR5,0.0528223498529882,1
CPEB4,0.0528223498529882,1
CRIM1,0.0528223498529882,1
CRNKL1,0.0528223498529882,1
CSNK1G3,0.0528223498529882,1
CYP4F3,0.0528223498529882,1
EPB41L2,0.0528223498529882,1
EPHB4,0.0528223498529882,1
ERCC2,0.0528223498529882,1
ERI2,0.0528223498529882,1
GRIN3B,0.0528223498529882,1
HEPACAM2,0.0528223498529882,1
